0.976236,10.570382,25.759958,56.698454,117.891350,178.746095,274.785217,434.442639,586.769660,776.704871,1093.363366,
0.993636,10.631788,26.074601,56.475626,118.359464,179.475864,274.498408,437.089548,587.723064,773.237894,1095.315897,
1.005407,10.409629,26.364772,56.340174,118.571588,177.910018,275.005265,432.224637,588.638238,777.877749,1092.601207,
0.988481,10.596394,25.902951,56.888318,118.252149,178.203661,274.119302,437.015264,589.026257,773.880393,1097.248671,
0.981009,10.566701,25.620555,56.656079,117.605406,178.124663,274.574577,432.875967,587.394864,774.653904,1100.019805,
0.984731,10.779635,25.831591,56.796177,118.196184,179.463017,273.003135,433.901909,589.862691,775.491116,1089.830257,
0.990462,10.717902,26.171516,56.569384,118.687802,178.062204,273.653353,436.236082,588.129805,779.256180,1103.450608,
0.973521,10.464742,25.541104,57.292450,118.305380,178.149589,273.575001,434.814365,589.222488,775.841908,1103.867042,
0.995908,10.675747,25.967443,56.839084,118.071306,178.164045,273.612946,435.248410,587.154685,782.379003,1089.219395,
0.989236,10.762593,25.918850,56.590597,118.354258,178.579437,275.216254,433.891890,591.178782,783.165673,1090.850877,

0.122029,1.321298,3.219995,7.087307,14.736419,22.343262,34.348152,54.305330,73.346208,97.088109,136.670421,
0.124204,1.328974,3.259325,7.059453,14.794933,22.434483,34.312301,54.636193,73.465383,96.654737,136.914487,
0.125676,1.301204,3.295596,7.042522,14.821449,22.238752,34.375658,54.028080,73.579780,97.234719,136.575151,
0.123560,1.324549,3.237869,7.111040,14.781519,22.275458,34.264913,54.626908,73.628282,96.735049,137.156084,
0.122626,1.320838,3.202569,7.082010,14.700676,22.265583,34.321822,54.109496,73.424358,96.831738,137.502476,
0.123091,1.347454,3.228949,7.099522,14.774523,22.432877,34.125392,54.237739,73.732836,96.936390,136.228782,
0.123808,1.339738,3.271440,7.071173,14.835975,22.257776,34.206669,54.529510,73.516226,97.407022,137.931326,
0.121690,1.308093,3.192638,7.161556,14.788172,22.268699,34.196875,54.351796,73.652811,96.980238,137.983380,
0.124489,1.334468,3.245930,7.104885,14.758913,22.270506,34.201618,54.406051,73.394336,97.797375,136.152424,
0.123655,1.345324,3.239856,7.073825,14.794282,22.322430,34.402032,54.236486,73.897348,97.895709,136.356360,